사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021123100100030,2021년 12월 31일 06시,금요일,경기도 수원시 권선구 권선동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,33세,상해없음,자전거,남,22세,중상
2021123100100031,2021년 12월 31일 06시,금요일,경기도 수원시 권선구 호매실동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,48세,상해없음,승용,남,71세,경상
2021123100100099,2021년 12월 31일 10시,금요일,경기도 수원시 장안구 정자동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,개인형이동수단(PM),여,19세,상해없음,보행자,여,74세,중상
2021123100100286,2021년 12월 31일 15시,금요일,경기도 수원시 장안구 정자동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승합,남,43세,상해없음,승용,남,33세,경상
2021123100100323,2021년 12월 31일 16시,금요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,51세,상해없음,승용,여,52세,경상
2021123100100373,2021년 12월 31일 17시,금요일,경기도 수원시 영통구 영통동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,남,51세,상해없음,개인형이동수단(PM),남,49세,경상
2021123100100376,2021년 12월 31일 17시,금요일,경기도 수원시 권선구 당수동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,남,46세,중상
2021123100100377,2021년 12월 31일 17시,금요일,경기도 수원시 영통구 망포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,62세,상해없음,승용,남,54세,경상
2021123100100440,2021년 12월 31일 18시,금요일,경기도 수원시 영통구 원천동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,승용,남,44세,경상
2021123100100441,2021년 12월 31일 18시,금요일,경기도 수원시 영통구 망포동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,이륜,남,26세,경상
2021123100100545,2021년 12월 31일 20시,금요일,경기도 수원시 영통구 망포동,중상사고,0,1,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,36세,상해없음,승용,여,75세,경상
2021123100100571,2021년 12월 31일 21시,금요일,경기도 수원시 권선구 구운동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,이륜,남,52세,경상
2021123100100572,2021년 12월 31일 21시,금요일,경기도 수원시 팔달구 매산로1가,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승합,남,65세,경상
2022010100100020,2022년 1월 1일 02시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,4,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,21세,상해없음,승합,남,33세,경상
2022010100100087,2022년 1월 1일 11시,토요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,여,56세,상해없음,승용,남,33세,경상
2022010100100100,2022년 1월 1일 12시,토요일,경기도 수원시 권선구 오목천동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,45세,상해없음,이륜,남,28세,경상
2022010100100174,2022년 1월 1일 15시,토요일,경기도 수원시 장안구 조원동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,62세,상해없음,보행자,남,65세,부상신고
2022010100100223,2022년 1월 1일 17시,토요일,경기도 수원시 팔달구 팔달로3가,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,보행자,여,67세,중상
2022010100100224,2022년 1월 1일 17시,토요일,경기도 수원시 팔달구 신풍동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,미분류 - 미분류,이륜,남,37세,중상,승용,남,40세,상해없음
2022010100100259,2022년 1월 1일 18시,토요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,남,41세,상해없음,승용,남,19세,경상
2022010100100298,2022년 1월 1일 19시,토요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,승용,여,49세,경상
2022010100100332,2022년 1월 1일 20시,토요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,여,59세,상해없음,보행자,남,30세,중상
2022010100100335,2022년 1월 1일 20시,토요일,경기도 수원시 권선구 고색동,경상사고,0,0,2,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,62세,상해없음,승용,남,57세,경상
2022010100100336,2022년 1월 1일 20시,토요일,경기도 수원시 권선구 세류동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,52세,상해없음,승합,남,57세,상해없음
2022010100100357,2022년 1월 1일 21시,토요일,경기도 수원시 팔달구 중동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,48세,기타불명,승용,남,71세,경상
2022010100100359,2022년 1월 1일 21시,토요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,자전거,남,26세,경상
2022010200100053,2022년 1월 2일 10시,일요일,경기도 수원시 장안구 정자동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,44세,경상
2022010200100064,2022년 1월 2일 11시,일요일,경기도 수원시 팔달구 팔달로1가,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,남,64세,경상
2022010200100065,2022년 1월 2일 11시,일요일,경기도 수원시 팔달구 우만동,경상사고,0,0,5,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,32세,경상,승용,남,33세,경상
2022010200100069,2022년 1월 2일 11시,일요일,경기도 수원시 권선구 고색동,경상사고,0,0,2,0,차대차 - 측면충돌,기타,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,승용,남,34세,경상
2022010200100174,2022년 1월 2일 15시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,2,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,남,26세,경상
2022010200100263,2022년 1월 2일 18시,일요일,경기도 수원시 권선구 금곡동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,여,25세,경상
2022010200100290,2022년 1월 2일 19시,일요일,경기도 수원시 영통구 이의동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,51세,상해없음,승용,여,29세,경상
2022010200100291,2022년 1월 2일 19시,일요일,경기도 수원시 영통구 이의동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,승용,여,31세,경상
2022010200100359,2022년 1월 2일 21시,일요일,경기도 수원시 장안구 송죽동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,28세,경상
2022010200100391,2022년 1월 2일 22시,일요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,24세,상해없음,승용,남,29세,경상
2022010200100394,2022년 1월 2일 22시,일요일,경기도 수원시 팔달구 매산로1가,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,24세,상해없음,승용,남,23세,경상
2022010200100395,2022년 1월 2일 22시,일요일,경기도 수원시 권선구 서둔동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,41세,경상,승용,남,63세,경상
2022010200100403,2022년 1월 2일 23시,일요일,경기도 수원시 권선구 세류동,중상사고,0,2,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,41세,상해없음,승용,남,56세,중상
2022010300100092,2022년 1월 3일 08시,월요일,경기도 수원시 장안구 파장동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,64세,상해없음,개인형이동수단(PM),남,22세,경상
2022010300100135,2022년 1월 3일 09시,월요일,경기도 수원시 영통구 원천동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,49세,경상,승용,남,51세,경상
2022010300100165,2022년 1월 3일 10시,월요일,경기도 수원시 팔달구 교동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,여,62세,경상
2022010300100193,2022년 1월 3일 11시,월요일,경기도 수원시 팔달구 고등동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,77세,상해없음,승용,여,62세,경상
2022010300100334,2022년 1월 3일 15시,월요일,경기도 수원시 권선구 세류동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,남,48세,경상
